G N M I OF
2 40 56 19 55196.01
2 40 56 20 45344.17
2 40 56 21 44469.26
2 40 56 22 52256.48
2 40 56 23 33127.61
2 40 56 24 45271.21
2 40 56 25 39956
2 40 56 26 50923.39
2 40 56 27 56980.58
2 40 56 28 47571.52
2 40 56 29 67551.9
2 40 56 30 52045.67
2 40 56 31 46612.14
2 40 56 32 68464.42
2 40 56 33 53940.67
2 40 56 34 70699.76
2 40 56 35 59012.17
2 40 56 36 62631.17
2 40 56 37 55062.53
2 40 56 38 46800.83
2 40 56 39 36331.81
2 40 56 40 54118.2
2 40 56 41 55949.71
2 40 56 42 52904.18
2 40 56 43 49564.33
2 40 56 44 61069.45
2 40 56 45 46376.04
2 40 56 46 40181.55
2 40 56 47 53673.19
2 40 56 48 51873.59
2 40 56 49 45079.53
2 80 112 0 219269.44
2 80 112 1 225404.54
2 80 112 2 228113.58
2 80 112 3 224449.73
2 80 112 4 214855.25
2 80 112 5 217873.97
2 80 112 6 228101.63
2 80 112 7 190890.47
2 80 112 8 221718.66
2 80 112 9 204839.33
2 80 112 10 190551.41
2 80 112 11 209158.82
2 80 112 12 203081.32
2 80 112 13 212502.72
2 80 112 14 222219.45
2 80 112 15 180221.72
2 80 112 16 231911.37
2 80 112 17 206342.97
2 80 112 18 237700.21
2 80 112 19 224141.2
2 80 112 20 206353.92
2 80 112 21 191552.95
2 80 112 22 226072.42
2 80 112 23 187757.07
2 80 112 24 192692.78
2 80 112 25 212252.4
2 80 112 26 202869.32
2 80 112 27 206270.99
2 80 112 28 222377.44
2 80 112 29 189825.74
2 80 112 30 179755.62
2 80 112 31 172003.78
2 80 112 32 195529.61
2 80 112 33 220751.64
