G N M I OF
2 20 20 33 8084.21
2 20 20 34 8371.47
2 20 20 35 8917.46
2 20 20 36 6960.66
2 20 20 37 8165.04
2 20 20 38 7802.64
2 20 20 39 7028.36
2 20 20 40 5183.47
2 20 20 41 7655.33
2 20 20 42 10419.17
2 20 20 43 7859.91
2 20 20 44 5666.43
2 20 20 45 7773.78
2 20 20 46 8876.86
2 20 20 47 9432.8
2 20 20 48 7063.3
2 20 20 49 8475
2 20 28 0 13413.99
2 20 28 1 12342.37
2 20 28 2 9995.08
2 20 28 3 13410.23
2 20 28 4 14676.25
2 20 28 5 11241.99
2 20 28 6 18515.17
2 20 28 7 16884.02
2 20 28 8 10514.19
2 20 28 9 10528.16
2 20 28 10 12600.47
2 20 28 11 13347.11
2 20 28 12 11398.07
2 20 28 13 13674.39
2 20 28 14 14584.4
2 20 28 15 12462.97
2 20 28 16 14442.32
2 20 28 17 10597.85
2 20 28 18 12955.97
2 20 28 19 14136.84
2 20 28 20 13179.14
2 20 28 21 13769.46
2 20 28 22 9331.33
2 20 28 23 10123.4
2 20 28 24 12683.52
2 20 28 25 7706.96
2 20 28 26 11228.34
2 20 28 27 10135.18
2 20 28 28 13564.29
2 20 28 29 10386.69
2 20 28 30 14057.49
2 20 28 31 11056.16
2 20 28 32 11888.56
2 20 28 33 13798.8
2 20 28 34 10788.91
2 20 28 35 8482.73
2 20 28 36 11978.49
2 20 28 37 12118.15
2 20 28 38 13336.92
2 20 28 39 12174
2 20 28 40 10642.24
2 20 28 41 15308.18
2 20 28 42 12348.4
2 20 28 43 13722.57
2 20 28 44 11751.41
2 20 28 45 11007.47
2 20 28 46 12520.14
2 20 28 47 13564.47
2 20 28 48 14092.44
2 20 28 49 11928.03
2 40 24 0 21117.33
2 40 24 1 21624.01
2 40 24 2 22399.93
2 40 24 3 20198.02
2 40 24 4 13427.38
2 40 24 5 20386.8
2 40 24 6 21524.91
2 40 24 7 24696.2
2 40 24 8 23256.88
2 40 24 9 19495.65
2 40 24 10 20696.68
2 40 24 11 28890.36
2 40 24 12 16904.83
2 40 24 13 17640.95
2 40 24 14 18885.69
2 40 24 15 18865.8
2 40 24 16 14153.68
2 40 24 17 19028.79
2 40 24 18 23475.02
2 40 24 19 18139.19
2 40 24 20 20472.74
2 40 24 21 24911.36
2 40 24 22 16336.23
2 40 24 23 18240.47
2 40 24 24 19666.47
2 40 24 25 24773.92
2 40 24 26 20980.17
2 40 24 27 22930.45
2 40 24 28 21269.23
2 40 24 29 25864.98
2 40 24 30 17560.43
2 40 24 31 18673.01
2 40 24 32 20449.23
2 40 24 33 15530.75
2 40 24 34 20077.04
2 40 24 35 20930.23
2 40 24 36 21826.37
2 40 24 37 16561.81
2 40 24 38 21282.43
2 40 24 39 28755.33
2 40 24 40 16337.48
2 40 24 41 21054.85
2 40 24 42 18999.31
2 40 24 43 18397.36
2 40 24 44 16859.66
2 40 24 45 17539.3
2 40 24 46 18439.37
2 40 24 47 24264.23
2 40 24 48 14637.65
2 40 24 49 20307.1
2 40 40 0 34049.2
2 40 40 1 37925.91
2 40 40 2 35142.77
2 40 40 3 28933.27
2 40 40 4 39689.97
2 40 40 5 40083.88
2 40 40 6 41965.75
2 40 40 7 33662.7
2 40 40 8 46890.83
2 40 40 9 40542.67
2 40 40 10 31777.92
2 40 40 11 38367.86
2 40 40 12 41311.18
2 40 40 13 36022.38
2 40 40 14 37577.44
2 40 40 15 42592.25
2 40 40 16 27106.28
2 40 40 17 34353.61
2 40 40 18 32826.04
2 40 40 19 34257.54
2 40 40 20 40134.26
2 40 40 21 44167.47
2 40 40 22 34646.24
2 40 40 23 34426.94
2 40 40 24 41965.59
2 40 40 25 33630.39
2 40 40 26 40421.27
2 40 40 27 38257.18
2 40 40 28 34100.91
2 40 40 29 41595.92
2 40 40 30 26625.86
2 40 40 31 37567.37
2 40 40 32 45270.86
2 40 40 33 36337.92
2 40 40 34 28555.52
2 40 40 35 32069.13
2 40 40 36 28513.3
2 40 40 37 35022.47
2 40 40 38 33748.02
2 40 40 39 34260.69
2 40 40 40 33475.22
2 40 40 41 47700.83
2 40 40 42 38422.55
2 40 40 43 36664.11
2 40 40 44 29896.32
2 40 40 45 31215.67
2 40 40 46 31824.8
2 40 40 47 35313.3
2 40 40 48 39424.6
2 40 40 49 41066.19
2 40 56 0 42588.41
2 40 56 1 49214.98
2 40 56 2 48137.19
2 40 56 3 46047.22
2 40 56 4 52858.22
2 40 56 5 54653.54
2 40 56 6 48821.14
2 40 56 7 41925.65
2 40 56 8 54335.68
2 40 56 9 41408.62
2 40 56 10 60494.86
2 40 56 11 47410.42
2 40 56 12 44417.38
2 40 56 13 54945.5
2 40 56 14 62545.76
2 40 56 15 44515.53
2 40 56 16 51048.67
2 40 56 17 56539.48
2 40 56 18 46316.13
2 40 56 19 57766.57
2 40 56 20 46792.18
2 40 56 21 46222.06
2 40 56 22 53606.95
2 40 56 23 34287.04
2 40 56 24 46749.96
2 40 56 25 40972.11
2 40 56 26 53129.4
2 40 56 27 59304.22
2 40 56 28 49286.68
2 40 56 29 69265.55
2 40 56 30 53210.19
2 40 56 31 48158.54
2 40 56 32 70131.92
2 40 56 33 55640.3
2 40 56 34 72892.17
2 40 56 35 61758
2 40 56 36 65267.18
2 40 56 37 56172.48
2 40 56 38 47675.24
2 40 56 39 37390.41
2 40 56 40 55533.96
2 40 56 41 57141.51
2 40 56 42 54932.67
2 40 56 43 50889.53
2 40 56 44 62253.42
2 40 56 45 47281.34
2 40 56 46 41698.62
2 40 56 47 55793.36
2 40 56 48 53337.56
2 40 56 49 46419.97
2 80 112 0 224234.39
2 80 112 1 228799.03
2 80 112 2 233404.12
2 80 112 3 229458.72
2 80 112 4 218870.16
2 80 112 5 224055.68
2 80 112 6 233497.27
2 80 112 7 194925.15
2 80 112 8 226766.21
2 80 112 9 209640.72
2 80 112 10 193386.61
2 80 112 11 214553.94
2 80 112 12 205553.86
2 80 112 13 218076.93
2 80 112 14 227570.05
2 80 112 15 182945.53
2 80 112 16 237282.79
2 80 112 17 211648.43
2 80 112 18 243783.52
2 80 112 19 230401.16
2 80 112 20 211288.6
2 80 112 21 195353.68
2 80 112 22 230068.12
2 80 112 23 192287.64
2 80 112 24 197374.73
2 80 112 25 219705.16
2 80 112 26 207878.76
2 80 112 27 212707.63
2 80 112 28 228966.96
2 80 112 29 195424.47
2 80 112 30 185598.58
2 80 112 31 174721.85
